property,correct_count,distractor_count,total,correct_rate
person in blue jeans and black jacket with red backpack,3,11,14,21.4
person in black t-shirt,6,22,28,21.4
dark-haired cheerleader with ponytail,3,11,14,21.4
person in jeans jacket and yellow sneakers,3,11,14,21.4
"the aggressor, person in orange, blue, and white shirt with ",14,52,66,21.2
person wearing blue hoodie and blue jeans,4,15,19,21.1
person in purple shirt that says miami,9,34,43,20.9
people in black and white striped shirt,5,19,24,20.8
multiple aggressors,6,23,29,20.7
person in a white shirt,24,92,116,20.7
kick,245,950,1195,20.5
person wearing a black jacket,9,35,44,20.5
"person in orange, blue, and white shirt with a pink scarf,",18,71,89,20.2
person in a dark jacket and gray pants,2,8,10,20.0
person wearing sunglasses and brown and white checkered shir,2,8,10,20.0
person wearing blue shorts,2,8,10,20.0
"person in the blue pants and white and black striped shirt,",3,12,15,20.0
restrain while on feet; victim: person in a white shirt,2,8,10,20.0
person with short blonde hair wearing a blue tracksuit,2,8,10,20.0
person in a black t-shirt,3,12,15,20.0
a person with dark hair in a ponytail wearing a blue cheerle,2,8,10,20.0
person wearing a red shirt and dark shorts,2,8,10,20.0
person in black and white tank top wearing a hat,6,24,30,20.0
brunette person wearing orange-brown pants and a dark brown ,2,8,10,20.0
person wearing white shirt and dark blue pants,2,8,10,20.0
a person with a mohawk wearing dark clothing,2,8,10,20.0
aggressor: person in black and white tank top wearing a hat;,2,8,10,20.0
person in a dark suit,4,16,20,20.0
person in black pullover,3,12,15,20.0
multiple people,2,8,10,20.0
person wearing a gray vest and blue jeans,2,8,10,20.0
person wearing brown jacket with red hood and green backpack,2,8,10,20.0
person in black shirt and black pants,6,24,30,20.0
person in a light shirt and dark pants,2,8,10,20.0
"person in orange, blue, and white shirt with a pink scarf is",16,64,80,20.0
person in black shirt and gray pants,3,12,15,20.0
person in a dark jacket over a blue shirt,2,8,10,20.0
"person wearing black beenie, black mask, and all black cloth",3,12,15,20.0
person in pink long sleeve shirt and pink trousers,2,8,10,20.0
"person wearing a red shirt and jeans, boxing gloves",2,8,10,20.0
person wearing a dark blue polo and blue jeans,2,8,10,20.0
"person wearing long sleeve shirt, blue jeans, and black belt",2,8,10,20.0
person in a light top and dark pants,2,8,10,20.0
person with long dark hair wearing a dark top,2,8,10,20.0
person wearing a black shirt with the number 16 on the back,2,8,10,20.0
person wearing dark colored uniform shirt,2,8,10,20.0
shirtless person wearing orange pants,2,8,10,20.0
"little person wearing an orange baseball cap, green tshirt, ",3,12,15,20.0
person wearing black and white shorts and no shirt,2,8,10,20.0
person in the blue shirt and blue jean shorts,3,12,15,20.0
person in a gray sweatsuit and white shoes,2,8,10,20.0
person in light colored top with long dark hair,2,8,10,20.0
"dark haired person wearing a pink jacket, black pants, and a",2,8,10,20.0
person wearing a black shirt,20,80,100,20.0
person lying on ground underneath aggressor,2,8,10,20.0
person wearing blue jacket and blue jeans,2,8,10,20.0
police officer wearing black uniform,2,8,10,20.0
person in yellow shirt,3,12,15,20.0
person wearing light blue shirt and khaki pants,2,8,10,20.0
person in light shirt,2,8,10,20.0
"person wearing an olive green long sleeved shirt, jeans, a b",2,8,10,20.0
"person wearing a black t-shirt, black blazer, and tan pants",2,8,10,20.0
person in a dark suit and white shirt,2,8,10,20.0
"person in black shirt,wavy long hair",2,8,10,20.0
person wearing blue tank top and black pants,2,8,10,20.0
person in hoodie and jeans,2,8,10,20.0
person wearing white long sleeved shirt and blue pants,2,8,10,20.0
shirtless blonde person with blue eyes wearing black shorts,3,12,15,20.0
person with blonde pigtails holding gun,3,12,15,20.0
"person with white hood, gray shirt, and black pants",3,12,15,20.0
"two people wearing dark jackets, white shirt, and red and ye",3,12,15,20.0
person in black shirt and black and white trouser,2,8,10,20.0
person wearing pink shirt and dark pants,2,8,10,20.0
person in gray jacket with brown hair,2,8,10,20.0
person in a blue and white striped shirt and grey pants,2,8,10,20.0
"aggressor: person in orange, blue, and white shirt with a pi",16,64,80,20.0
person wearing blue karate uniform,4,16,20,20.0
person in orange uniform,3,12,15,20.0
person with curly hair wearing red and black shirt,2,8,10,20.0
person in a red plaid shirt,2,8,10,20.0
person in light blue jersey,2,8,10,20.0
person wearing blue striped shirt and blue jeans,2,8,10,20.0
person in black jacket and black pants,2,8,10,20.0
person with ponytail wearing a blue polo and gray pants,2,8,10,20.0
blonde person wearing navy blue muscle tank,2,8,10,20.0
person in a black jacket,20,81,101,19.8
"person in orange, blue, and white shirt with a pink scarf",100,414,514,19.5
person in plaid shirt,7,29,36,19.4
person in blue and white long sleeves,6,25,31,19.4
person in a suit,5,21,26,19.2
person in a black shirt and black pants,5,21,26,19.2
person in dark jacket,5,21,26,19.2
person wearing a checkered shirt and dark colored jeans,4,17,21,19.0
person wearing a dark top and dark pants,4,17,21,19.0
person in grey pullover and blue jeans trousers,4,17,21,19.0
person in black dress,8,34,42,19.0
person in the white shirt,25,108,133,18.8
person wearing a yellow shirt and dark pants,3,13,16,18.8
person in orange shirt,3,13,16,18.8
shirtless person,3,13,16,18.8
person wearing navy blue suit,3,13,16,18.8
person in a light colored shirt and dark pants,3,13,16,18.8
person in black,9,39,48,18.8
person wearing t-shirt and jeans,3,13,16,18.8
person in white shirt,43,188,231,18.6
person in a dark shirt and pants,5,22,27,18.5
person wearing a dark blue and white striped shirt and jeans,5,22,27,18.5
person in blue,7,31,38,18.4
person in red shirt and blue pants,7,31,38,18.4
"person wearing a black tank top, black choker necklace, and ",2,9,11,18.2
person in a black top with black shorts,2,9,11,18.2
person wearing a black shirt and pants,2,9,11,18.2
person wearing a black tank top,4,18,22,18.2
"person in a black shirt and blue jeans, person in a dark jac",2,9,11,18.2
"person wearing black jacket, olive pants, and olive beanie",2,9,11,18.2
person in a purple dress with a brown belt,2,9,11,18.2
person with long black hair wearing red tie and white headba,2,9,11,18.2
person with black hair wearing pink jacket,2,9,11,18.2
"person with short blonde hair wearing a red polo, black pant",2,9,11,18.2
"person in pink camisole,black shorts and person in grey shir",2,9,11,18.2
person wearing a red shirt,4,18,22,18.2
person wearing a plaid shirt and dark blue jeans,2,9,11,18.2
person wearing a dark shirt and khaki pants,2,9,11,18.2
"person wearing grey sneakers, white hoodie with dollar sign ",2,9,11,18.2
"a person wearing a leather jacket, white shirt, and red and ",2,9,11,18.2
person in a black tank top,2,9,11,18.2
person wearing a white shirt is the aggressor and person wea,2,9,11,18.2
person with long black hair wearing a uniform and holding a ,2,9,11,18.2
person wearing a blue jacket,4,18,22,18.2
person in white torn shirt,2,9,11,18.2
person wearing orange and blue jumpsuit with a blue cape,2,9,11,18.2
the action of hair grabbing,28,126,154,18.2
person wearing a black shirt and black pants,4,18,22,18.2
person wearing a black shirt and light blue jeans,2,9,11,18.2
person in black and white stripped shirt,2,9,11,18.2
person in shirt sleeve shirt,2,9,11,18.2
a person wearing a gray jacket and black and gray striped sh,2,9,11,18.2
person wearing a white hoodie,2,9,11,18.2
person in black and white,2,9,11,18.2
person with a backpack wearing gray pants,2,9,11,18.2
person in dark coat and white cap,2,9,11,18.2
person wearing blue sweater and jeans and bag,2,9,11,18.2
person in black pants with black and white shoes,2,9,11,18.2
a person wearing a white shirt and a white tie,2,9,11,18.2
person wearing a light blue sports jersey,2,9,11,18.2
person wearing a white tank top and black pants,2,9,11,18.2
person wearing black hoodie and blue shorts,2,9,11,18.2
person in white shirt and tie,2,9,11,18.2
person in a tank top and blue shorts with black gloves,2,9,11,18.2
"person in white shirt,",4,18,22,18.2
aggressor: person in the white shirt; victim: person in the ,2,9,11,18.2
person in a blue jacket and light colored shirt,2,9,11,18.2
person wearing a dark shirt with 'lawton fire' on the back,2,9,11,18.2
person in white top,2,9,11,18.2
person in gorilla suit,2,9,11,18.2
person in dark hoodie,2,9,11,18.2
person in light top and dark pants,2,9,11,18.2
person in dark top and white pants carrying a bag,2,9,11,18.2
person in pink shirt with no apron and grey hair,2,9,11,18.2
"blonde person wearing a white long sleeved shirt, blue tshir",2,9,11,18.2
person in blue shirt,14,64,78,17.9
person wearing a white shirt and dark blue pants,7,32,39,17.9
person wearing a dark jacket,5,23,28,17.9
person wearing a white t-shirt and white head covering and p,5,23,28,17.9
person in a dark uniform,3,14,17,17.6
person wearing a white shirt and striped pants holding a yel,3,14,17,17.6
person wearing a black shirt and gray pants,3,14,17,17.6
blonde person wearing blue shirt and blue tie and brunette p,3,14,17,17.6
person in red shirt and black pants on the right,3,14,17,17.6
person in black hoodie,3,14,17,17.6
person wearing gray shirt,3,14,17,17.6
person in white shirt and white shorts,4,19,23,17.4
person in a dark jacket,14,67,81,17.3
person wearing white shirt,10,48,58,17.2
person in the pink and white shirt,5,24,29,17.2
person in white jacket and black pants and person in black j,5,24,29,17.2
person in a black shirt,17,82,99,17.2
hit with an object,187,906,1093,17.1
person in a gray shirt,9,44,53,17.0
person with dark hair wearing a white dress,2,10,12,16.7
person in the white shirt and light brown shorts,2,10,12,16.7
person in dark t-shirt and light pants,2,10,12,16.7
person wearing gray jacket with shoulder-length hair,2,10,12,16.7
"person wearing black hoodie,",2,10,12,16.7
person wearing a grey jacket and dark pants,2,10,12,16.7
person in gray jacket,2,10,12,16.7
"person wearing light blue shirt, apron, and a red bandana",2,10,12,16.7
person in a dark hoodie and khaki pants,2,10,12,16.7
"person in a dark jacket,",2,10,12,16.7
person in dark blue t-shirt with yellow text and khaki short,2,10,12,16.7
"person in black shirt,",2,10,12,16.7
person in the grey shorts,4,20,24,16.7
"person in a white chef's coat, dark pants, and a dark head c",2,10,12,16.7
person in wine jacket,2,10,12,16.7
person wearing a red and black flannel and gray sweatpants,2,10,12,16.7
person in a gray shirt and black pants,3,15,18,16.7
"victim in black with black hair, wearing red armband",2,10,12,16.7
person wearing black hoodie,7,35,42,16.7
person wearing a white shirt and dark shorts,2,10,12,16.7
three men,2,10,12,16.7
person with curly hair wearing leather jacket,2,10,12,16.7
person with long curly hair wearing a red top and blue jeans,2,10,12,16.7
"person in blue shirt, shorts, long black socks, and black cl",2,10,12,16.7
person in grey shirt with blue jeans,8,40,48,16.7
person in white hood and black shirt with black shorts,3,15,18,16.7
person in a grey hoodie,2,10,12,16.7
"person wearing black glasses, white shirt, and black pants",2,10,12,16.7
person wearing a dark jacket and dark pants,2,10,12,16.7
person wearing a blue long sleeve,2,10,12,16.7
person wearing a blue shirt with boxing gloves,2,10,12,16.7
person in white jacket and black pants and person in black jacket and black pants,2,10,12,16.7
person in a plaid shirt and jeans,2,10,12,16.7
person lying on ground wearing dark blue clothing with bag o,2,10,12,16.7
person in black jacket and blue pants,2,10,12,16.7
person wearing dark blue and white striped polo,2,10,12,16.7
person in a gray long sleeved shirt and black pants,2,10,12,16.7
person in front of aggressor,2,10,12,16.7
person in striped pants,4,20,24,16.7
person with blue shorts and gray t-shirt,2,10,12,16.7
person wearing blue football jersey and gray pants,2,10,12,16.7
person in grey hoodie,3,15,18,16.7
person in dark clothing with a broom,2,10,12,16.7
person in a white hoodie and black pants,2,10,12,16.7
person in a red and black checkered shirt with gray sweat pa,2,10,12,16.7
person in a black shirt and shorts,2,10,12,16.7
person in a black shirt and jeans,2,10,12,16.7
person wearing white shirt and white cast on arm,3,15,18,16.7
person with long hair and black shirt,2,10,12,16.7
person in a light plaid shirt,2,10,12,16.7
person in a blue hat,2,10,12,16.7
person in dark top,5,26,31,16.1
person wearing blue and brown jacket and black pants,4,21,25,16.0
person in orange,4,21,25,16.0
person wearing black jacket,4,21,25,16.0
"person in orange, blue, and white shirt with a pink scarf at",15,79,94,16.0
person in all black,10,53,63,15.9
person in yellow,82,436,518,15.8
person with short hair,3,16,19,15.8
person in a gray hooded sweatshirt,3,16,19,15.8
"person wearing black jacket, white shirt, tie, and black pan",3,16,19,15.8
person in a tank top,3,16,19,15.8
person in grey shirt,9,48,57,15.8
person wearing a blue football uniform shirt,3,16,19,15.8
person wearing a light-colored top,2,11,13,15.4
person wearing a grey jacket and blue beanie,2,11,13,15.4
person wearing a black shirt and shorts,2,11,13,15.4
person with hair in ponytail wearing a pink hoodie and skinn,2,11,13,15.4
person in white hoodie and jeans trousers,2,11,13,15.4
person wearing a black t-shirt and black jacket,2,11,13,15.4
person wearing a blue sweatshirt and gray pants,2,11,13,15.4
person in blue and white shirt with blue jeans and person in,2,11,13,15.4
person bear-chested,2,11,13,15.4
person in black tank top,2,11,13,15.4
person in grey shirt and jeans,2,11,13,15.4
person wearing black t-shirt and black shorts,2,11,13,15.4
person in grey jacket and black trousers,2,11,13,15.4
person in the back,2,11,13,15.4
person in green shirt and blue jeans trousers,2,11,13,15.4
person in a dark shirt and jeans,2,11,13,15.4
person in blue suit jacket,2,11,13,15.4
"person in all black,",2,11,13,15.4
person wearing a light colored shirt and dark pants,2,11,13,15.4
person in light shirt and orange shorts,2,11,13,15.4
person in light blue shirt,2,11,13,15.4
a person with long dark hair wearing an orange headband,2,11,13,15.4
person in red skirts,2,11,13,15.4
person wearing a red jacket,2,11,13,15.4
person with white shorts and yellow jersey,2,11,13,15.4
blonde person wearing a light blue hoodie,2,11,13,15.4
person in a black jacket with red trim,2,11,13,15.4
"person in a dark suit/jacket, light-colored shirt, and dark ",2,11,13,15.4
person wearing cream colored sweated and dark blue blazer an,2,11,13,15.4
"person in a dark jacket, person in a dark top and light blue pants, and person in a dark top",2,11,13,15.4
brunette person wearing red hoodie and black sweatpants,2,11,13,15.4
"person wearing dark colored jacket, tan pants, and tan hood",2,11,13,15.4
person with a beard wearing a black top,2,11,13,15.4
person wearing red and black jacket,2,11,13,15.4
person in a gray t-shirt,2,11,13,15.4
person in white shirt and shorts,2,11,13,15.4
person wearing green and blue karate uniform,2,11,13,15.4
person wearing an orange jacket and black clothes,2,11,13,15.4
person wearing a white sweater,2,11,13,15.4
"curly haired person wearing red t-shirt, gray long sleeved s",2,11,13,15.4
two persons,2,11,13,15.4
person wearing a tan shirt,2,11,13,15.4
person in black shirt and pants,2,11,13,15.4
person in a dark blue shirt with 'fulton county jail inmate',2,11,13,15.4
person wearing a light blue shirt and a blue backpack,2,11,13,15.4
person in a dark shirt and shorts,2,11,13,15.4
person in light-colored top,2,11,13,15.4
person in white t-shirt,5,28,33,15.2
person in grey pullover and black trousers,5,28,33,15.2
person wearing black hoodie and red pants,3,17,20,15.0
person wearing a dark green and blue jacket,3,17,20,15.0
person wearing a black hoodie,3,17,20,15.0
person in black long sleeves shirt and grey trousers,3,17,20,15.0
"person with brown hair wearing a green headband, multicolore",3,17,20,15.0
person wearing white jacket and person wearing dark colored ,3,17,20,15.0
the action of restrain while,20,114,134,14.9
person wearing a white shirt,17,97,114,14.9
person wearing black military uniform with blood running dow,4,23,27,14.8
person wearing green head covering,4,23,27,14.8
person wearing black military uniform,4,23,27,14.8
"person with long blonde hair wearing a red tank top, gray ca",4,23,27,14.8
hair grabbing,149,869,1018,14.6
person in gray shirt,6,35,41,14.6
person in dark shirt,6,35,41,14.6
person in a gray tank top,3,18,21,14.3
blonde person wearing a gray shirt,2,12,14,14.3
person wearing a blue shirt with a white shirt on underneath,3,18,21,14.3
person wearing brown furry jacket,2,12,14,14.3
"person wearing khaki pants, dark blue blazer, and white shir",2,12,14,14.3
person in blue jacket,5,30,35,14.3
person lying on ground underneath aggressors,2,12,14,14.3
person in black jacket,23,138,161,14.3
person in black jacket and black trousers,2,12,14,14.3
person wearing red shorts,2,12,14,14.3
person in grey and white stripped shirt,2,12,14,14.3
person wearing a white tank top,2,12,14,14.3
brunette person with curly hair wearing a karate uniform and,5,30,35,14.3
person in a purple top and dark pants,2,12,14,14.3
"person wearing all black,",2,12,14,14.3
brunette person wearing a black t-shirt,2,12,14,14.3
person in white shirt and black pants wearing hat,2,12,14,14.3
person wearing a yellow tshirt and a black leather jacket,2,12,14,14.3
person wearing a plaid dark brown and white shirt,2,12,14,14.3
person with black shirt and jeans beneath the aggressors,2,12,14,14.3
person in red jacket,11,66,77,14.3
person wearing a maroon sweater and jacket,2,12,14,14.3
person in purple shirt,2,12,14,14.3
person wearing a white shirt and khaki pants,2,12,14,14.3
person in dark top and dark pants with writing on the front,2,12,14,14.3
person in red shirt,9,54,63,14.3
person wearing red karate uniform,2,12,14,14.3
person in white top and dark pants,2,12,14,14.3
person in black shirt holding a pool cue,2,12,14,14.3
person wearing a gray long sleeved shirt and blue sweatpants,3,18,21,14.3
person wearing a white shirt and shorts,2,12,14,14.3
person in a light suit,2,12,14,14.3
person in dark clothing,14,85,99,14.1
person in blue shirt with ginger hair,5,31,36,13.9
person in a blue shirt,10,62,72,13.9
"person wearing blue shirt, brown pants, and a blue backpack",3,19,22,13.6
person in a black hoodie,3,19,22,13.6
person wearing a tan jacket,3,19,22,13.6
the action of hit with an object,25,161,186,13.4
"person in a plaid shirt,",2,13,15,13.3
person in light colored shirt,2,13,15,13.3
"person with black hair, pink shirt, and green apron",2,13,15,13.3
person in white shirt and dark pants,2,13,15,13.3
person wearing white shirt and glasses,2,13,15,13.3
person wearing white shirt and black pants,2,13,15,13.3
person wearing a plaid shirt,2,13,15,13.3
person in grey jacket,2,13,15,13.3
person wearing a tank top,2,13,15,13.3
person in black shirt,10,65,75,13.3
"person with hair in ponytail wearing a pink hoodie, black pa",2,13,15,13.3
person wearing a dark top and blue jeans,2,13,15,13.3
person in a dark top and dark pants,4,26,30,13.3
person wearing white shirt and tan pants,2,13,15,13.3
person in green shirt,6,39,45,13.3
person in orange shirt and pants,2,13,15,13.3
person in light top and light pants,2,13,15,13.3
person in white tank top and white shorts with sunglasses,2,13,15,13.3
person in white backet and black pants below the aggressors,4,26,30,13.3
person in a green jacket,4,26,30,13.3
person wearing black beneath the aggressors,2,13,15,13.3
person in blue suit,2,13,15,13.3
person wearing coral colored hoodie,2,13,15,13.3
person wearing gray hoodie and gray sweatpants,2,13,15,13.3
person wearing black shorts,2,13,15,13.3
person in the black jacket and white shirt,10,65,75,13.3
person with curly brown hair wearing gray and black tank top,2,13,15,13.3
person wearing a white shirt and blue jeans,2,13,15,13.3
person in a light-colored shirt,2,13,15,13.3
person wearing a yellow shirt,2,13,15,13.3
person wearing a green camo print jacket and red tank top,2,13,15,13.3
person wearing a gray hoodie and blue jeans,2,13,15,13.3
person wearing black t-shirt,5,33,38,13.2
person in a striped shirt,3,20,23,13.0
person in black uniform,6,40,46,13.0
person wearing a green shirt,3,20,23,13.0
person in uniform lying on ground,3,20,23,13.0
person wearing white shirt and khaki pants,3,20,23,13.0
person with blonde hair,7,47,54,13.0
person in the black shirt and black shorts,4,27,31,12.9
person in red dress,4,27,31,12.9
person in a red shirt,5,34,39,12.8
person with brown hair,5,34,39,12.8
"person wearing white shirt, black shoes, and dark blue suit",2,14,16,12.5
person with mohawk wearing blue uniform,2,14,16,12.5
person in black hoodie and black ski mask,2,14,16,12.5
person in black pullover and black sneakers,2,14,16,12.5
person with hair in ponytail wearing a tan pleated skirt and,3,21,24,12.5
person wearing black and red sweatshirt and black jeans,2,14,16,12.5
person in orange colored shirt,2,14,16,12.5
person wearing a blue jacket and gray pants,2,14,16,12.5
person wearing black,4,28,32,12.5
person with white hair wearing golden scarf around neck,2,14,16,12.5
"person in a black hoodie, blue ripped jeans, and a red visor",2,14,16,12.5
person in light blue shirt and blue jeans,2,14,16,12.5
person in a gray jacket,3,21,24,12.5
person wearing orange jacket,2,14,16,12.5
person wearing a light blue shirt,2,14,16,12.5
person wearing blue and green and white plaid jacket and blu,2,14,16,12.5
person wearing red uniform and black belt,2,14,16,12.5
the action of pinned down,14,101,115,12.2
person in uniform,4,29,33,12.1
person in a green shirt,4,29,33,12.1
person in white jacket and white trousers,2,15,17,11.8
"person in black shirt,white shorts",2,15,17,11.8
person wearing a white shirt and black pants,2,15,17,11.8
person in a gray suit,2,15,17,11.8
shirtless blonde person wearing black shorts,2,15,17,11.8
person in black and purple dress,2,15,17,11.8
person wearing a black shirt and khaki pants,2,15,17,11.8
person wearing a navy jacket,2,15,17,11.8
person in dark outfit,4,30,34,11.8
person with hair in ponytail wearing a black turtleneck and ,2,15,17,11.8
person in a dark shirt,4,30,34,11.8
person with hair tied back wearing gray sweatshirt,2,15,17,11.8
"person in black jacket, gray shirt, and black pants",2,15,17,11.8
person with braids wearing a blue long sleeved shirt and nav,2,15,17,11.8
person wearing a sweater and glasses,2,15,17,11.8
person wearing a white top,2,15,17,11.8
person wearing a black jacket and dark pants,2,15,17,11.8
person in a dark colored shirt,2,15,17,11.8
person wearing black clothing,5,38,43,11.6
person in a plaid shirt,5,38,43,11.6
person in a light shirt,3,23,26,11.5
restrain while,52,401,453,11.5
person in the blue pants and white and black striped shirt,6,48,54,11.1
person in white jersey,2,16,18,11.1
person with short hair and black hoodie,2,16,18,11.1
person in a red jacket,2,16,18,11.1
person wearing all gray,2,16,18,11.1
person wearing a purple and brown striped shirt,2,16,18,11.1
person wearing black headcovering and orange prisoner unifor,2,16,18,11.1
person wearing a pink shirt,4,32,36,11.1
brunette person wearing blue striped shirt and blue jeans,2,16,18,11.1
"person with short blonde hair wearing a white tshirt, white ",2,16,18,11.1
person in a yellow shirt,2,16,18,11.1
"person in red shirt, black shorts",2,16,18,11.1
person in a red shirt and gray pants,2,16,18,11.1
person wearing a black jacket and jeans,2,16,18,11.1
person in white jacket,4,32,36,11.1
a person wearing a red sweater with a white collar and black,2,17,19,10.5
person wearing a striped shirt,2,17,19,10.5
person in a blue shirt and dark pants,2,17,19,10.5
person in white shirt and black shorts,2,17,19,10.5
person wearing black hoodie and black pants,2,17,19,10.5
person wearing a white t-shirt,2,17,19,10.5
blonde person wearing green shirt with black shirt underneat,2,17,19,10.5
person in blue pants,3,26,29,10.3
person in black shirt and white pants,1,9,10,10.0
person in ash jacket,1,9,10,10.0
person gray shirt and black hat and person in black and whit,2,18,20,10.0
person in black long sleeve shirt and brown shorts,1,9,10,10.0
"person wearing backwards baseball hat, jacket, and cyan blue",1,9,10,10.0
person in a dark shirt and gray pants,1,9,10,10.0
person in a blue jacket and gray pants,1,9,10,10.0
"person with curly dark hair wearing a black blazer, white sh",1,9,10,10.0
person with short curly hair in orange prison uniform,1,9,10,10.0
person wearing a gray shirt and khakis,1,9,10,10.0
person wearing a green and blue plaid shirt,1,9,10,10.0
person with a bald head wearing a green coat,1,9,10,10.0
person with long hair in black shirt,1,9,10,10.0
person wearing a gray sweatshirt,2,18,20,10.0
a person with blonde hair wearing an orange letterman jacket,1,9,10,10.0
person in the white shirt and khaki pants,1,9,10,10.0
"person wearing brown plaid shirt, black sunglasses, and blue",1,9,10,10.0
person in black hoodie and grey trousers,1,9,10,10.0
person wearing a lighter colored jacket and dark pants,1,9,10,10.0
person in dark top and light pants on the floor,1,9,10,10.0
person shirtless with black pants,1,9,10,10.0
person in a white shirt with a black logo on the back,1,9,10,10.0
person in dark clothing and white athletic shoes,1,9,10,10.0
person wearing dark green hoodie,1,9,10,10.0
person wearing white shirt and red bowtie,1,9,10,10.0
person wearing a black shirt and a black sideways baseball c,1,9,10,10.0
person with long curly brown hair wearing a black tank top a,1,9,10,10.0
person in yellow shirt with number 9 and white shorts,1,9,10,10.0
